Store Id,Week Start Date Skey,Demand (Hrs),Sched (Hrs),Sched Effectiveness,FT Count,PT Count,Fixed Hrs
125573,20150201,765.25,778.25,0.6766,0,30,126
125573,20150208,685.25,696.25,0.6644,10,30,126
125573,20150215,718.25,704.25,0.6582,10,30,126
125573,20150222,694.75,718.25,0.6697,10,30,126
125573,20150301,672.25,623,0.6828,10,30,126
125573,20150308,678.5,642,0.7001,10,30,126
125573,20150315,680,708.25,0.7004,10,30,126
125573,20150322,643.5,671.75,0.6282,10,30,126
125573,20150329,686.5,675.5,0.6431,10,29,135
125573,20150405,658.75,644.75,0.6706,10,29,126
125573,20150412,637.75,625.75,0.6535,10,29,126
125573,20150419,638.75,661,0.6904,10,29,126
125573,20150426,640,641.5,0.5273,10,29,126
125573,20150503,648.5,676.5,0.6361,9,24,126
125573,20150510,606.5,621.25,0.6146,9,24,126
125573,20150517,605,645.25,0.5798,9,24,126
125573,20150524,680.25,711,0.663,9,24,90
125573,20150531,618,671.5,0.5599,9,24,90
125573,20150607,632,720.75,0.6159,9,24,90
125579,20150201,794,813,0.3136,10,32,742.5
125579,20150208,710.5,723.5,0.3702,10,32,665
125579,20150215,783.5,787,0.3912,10,32,638.5
125579,20150222,721,725,0.3981,10,32,761
125579,20150301,775.5,753.5,0.3804,10,32,773
125579,20150308,762.75,730.25,0.4205,10,32,738
125579,20150315,766,756.75,0.3881,10,32,758.5
125579,20150322,761,761,0.3469,10,32,711
125579,20150329,861.25,818.5,0.4476,10,34,671
125579,20150405,768.5,735,0.3962,10,34,542.5
125579,20150412,742.75,744.75,0.3416,10,34,686
125579,20150419,767.25,767.25,0.2916,10,34,672
125579,20150426,732,701.75,0.3719,10,34,598.25
125579,20150503,735.25,687.75,0.3784,9,30,711.75
125579,20150510,675,634.25,0.3856,9,30,728.25
125579,20150517,732,702.25,0.3883,9,30,689.25
125579,20150524,724.25,679.75,0.38,9,30,645.25
125579,20150531,732.25,651.25,0.3957,9,30,643.25
125579,20150607,745.25,720.75,0.374,9,30,654.25
125579,20150614,733.5,631.5,0.3449,9,30,599.25
125579,20150621,729,705.75,0.392,9,30,498.25
125602,20150201,546.5,528.75,0.328,8,22,487.25
125602,20150208,499.25,479.75,0.331,8,22,526.75
125602,20150215,523.25,504.75,0.3751,8,22,593.75
125602,20150222,466.5,453.5,0.4202,8,22,604.5
125602,20150301,553,511.75,0.4571,8,22,585.25
125602,20150308,519,494,0.396,8,22,569
125602,20150315,542,515,0.4566,8,22,621.25
125602,20150322,531.5,508,0.4271,8,22,566.75
125602,20150329,585.5,572.75,0.3941,8,22,613
125602,20150405,548.25,521.5,0.4697,8,22,505.75
125602,20150412,523.75,526.5,0.3532,8,22,543.5
125602,20150419,509,510.5,0.3124,8,22,564.25
125602,20150426,496.25,453,0.396,8,22,545.25
125602,20150503,497,469.25,0.3989,7,20,531.25
125602,20150510,469.75,443.75,0.405,7,20,553.75
125602,20150517,474,447.75,0.3729,7,20,578.5
125602,20150524,500.75,476.25,0.3969,7,20,553.5
125602,20150531,499.75,406,0.3872,7,20,551.5
125602,20150607,508.25,462.25,0.4009,7,20,499.5
125602,20150614,501,491.75,0.3278,7,20,393.5
125602,20150621,522.75,487.25,0.3448,7,20,491.75
125603,20150201,607.5,614.25,0.4572,8,27,80.5
125603,20150208,576.25,608.75,0.3883,8,27,116
125603,20150215,548,584.5,0.4553,8,27,99.5
125603,20150222,557.75,590.5,0.4796,8,27,109
125603,20150301,584.75,617.75,0.4681,8,27,107
125603,20150308,567.5,577.5,0.5225,8,27,89
125603,20150315,572,593,0.3872,8,27,99.5
125603,20150322,560.25,618.5,0.4373,8,27,119.5
125603,20150329,616.25,642.25,0.4613,8,26,92.5
125603,20150405,551.5,531.75,0.4764,8,26,72
125603,20150412,554.25,570.75,0.5174,8,26,71.5
125603,20150419,551,560,0.441,8,26,105
125603,20150426,541.25,537.75,0.4965,8,26,112.5
125603,20150503,537.25,544.25,0.4649,7,23,110.5
125603,20150510,487.75,509,0.4172,7,23,105.5
125603,20150517,513.5,529,0.4596,7,23,102.5
125603,20150524,544,608.5,0.4118,7,23,113
125603,20150531,542.75,571,0.4855,7,23,114
125603,20150607,551,573.25,0.4478,7,23,54
125603,20150614,524.5,538.75,0.4542,7,23,19
125603,20150621,548.75,561.25,0.4542,7,23,37
125604,20150201,1064.25,1081.5,0.4853,11,48,798.75
125604,20150208,917,927.75,0.4785,11,48,725.25
125604,20150215,1004.25,1017.25,0.4483,11,48,780.75
125604,20150222,937,954.5,0.4589,11,48,756.5
125604,20150301,1005.75,1041.5,0.4768,11,48,839.5
125604,20150308,975.5,1016.75,0.4175,11,48,774
125604,20150315,968.75,982.75,0.4818,11,48,713
125604,20150322,971,986.75,0.4781,11,48,691
125604,20150329,1054,1023.5,0.5019,11,50,698.5
125604,20150405,920.25,893.25,0.4708,11,50,712.5
125604,20150412,966,969.75,0.4573,11,50,713.25
125604,20150419,925.5,946,0.4398,11,50,734.75
125604,20150426,912.25,932.25,0.3291,11,50,724.75
125604,20150503,908.75,909,0.4589,10,42,776.5
125604,20150510,839.5,816,0.4735,10,42,676.5
125604,20150517,908.75,904.75,0.4327,10,42,730.5
125604,20150524,924.5,965.75,0.4562,10,42,782.75
125604,20150531,930.25,924.75,0.4888,10,42,782.75
125604,20150607,916.25,914.75,0.4357,10,42,654.5
125604,20150614,903,869,0.4729,10,42,606.75
125604,20150621,922,916.5,0.397,10,42,611.5
125605,20150201,762.5,843,0.303,11,31,517
125605,20150208,709,727.75,0.4051,11,31,583.5
125605,20150215,752.75,746.5,0.4211,11,31,553.75
125605,20150222,689,685.25,0.525,11,31,61.5
125605,20150301,743,696.5,0.4812,11,31,602
125605,20150308,728,707.75,0.5319,11,31,564.5
125605,20150315,720.75,679,0.521,11,31,532
125605,20150322,716,707.5,0.4078,11,31,99
125605,20150329,768.75,755,0.5411,11,32,545
125605,20150405,655.75,702,0.4705,11,32,78
125605,20150412,681.25,688.5,0.4895,11,32,54
125605,20150419,670.5,666,0.4981,11,32,574.25
125605,20150426,641.5,667.75,0.4875,11,32,652.25
125605,20150503,634.75,649.25,0.488,10,27,90
125605,20150510,606.25,608.5,0.4619,10,27,559.5
125605,20150517,630.75,624,0.4653,10,27,584
125605,20150524,655.75,668.25,0.4548,10,27,594
125605,20150531,692.25,714.5,0.5179,10,27,621.5
125605,20150607,655,650.75,0.4813,10,27,500.5
125605,20150614,650.75,642.25,0.4906,10,27,258
125605,20150621,674.75,694.5,0.3742,10,27,457
125607,20150201,529.25,505,0.5092,8,19,85
125607,20150208,461.75,463,0.5631,8,19,313.5
125607,20150215,482.5,477.5,0.5927,8,19,343.5
125607,20150222,433,425,0.6316,8,19,312.5
125607,20150301,492,474.75,0.6702,8,19,366
125607,20150308,470.75,496.5,0.478,8,19,337.5
125607,20150315,503,525.25,0.5383,8,19,345.75
125607,20150322,480.75,509,0.6199,8,19,315
125607,20150329,537.5,542,0.6074,8,19,430.5
125607,20150405,443,458.5,0.5135,8,19,399.5
125607,20150412,458.25,469,0.6132,8,19,298
125607,20150419,434.25,453.25,0.5141,8,19,350
125607,20150426,424,423.5,0.559,8,19,59.5
125607,20150503,438,416.5,0.5811,7,17,331
125607,20150510,415.5,389.5,0.6161,7,17,354.5
125607,20150517,449.25,386.5,0.6288,7,17,302
125607,20150524,429.75,386.5,0.6062,7,17,308
125607,20150531,426.25,393.5,0.6522,7,17,357.5
125607,20150607,450.25,412,0.5952,7,17,387.5
125607,20150614,424.5,402,0.3369,7,17,221
125607,20150621,445.75,462,0.3444,7,17,274
125609,20150201,516.5,373.5,0.2343,8,17,273
125609,20150208,443,368.5,0.3363,8,17,253.5
125609,20150215,483.5,462.5,0.3144,8,17,278
125609,20150222,410,390.5,0.3878,8,17,250.5
125609,20150301,470,403.5,0.3032,8,17,293.5
125609,20150308,444.5,371.5,0.3138,8,17,307
125609,20150315,459.25,387,0.393,8,17,277
125609,20150322,435.75,381.5,0.2708,8,17,234.5
125609,20150329,457.5,363.5,0.3574,8,18,275.5
125609,20150405,466.75,326.5,0.3706,8,18,217.5
125609,20150412,432.25,298,0.406,8,18,304
125609,20150419,422.25,334.5,0.3446,8,18,291
125609,20150426,408.5,301,0.3831,8,18,261.5
125609,20150503,419.25,327,0.3554,7,15,317.5
125609,20150510,385.75,281.5,0.28,7,15,270.5
125609,20150517,396,277,0.3864,7,15,273
125609,20150524,406.5,307.5,0.2804,7,15,268
125609,20150607,429,334,0.3275,7,15,312
125609,20150614,402.25,412.5,0.4052,7,15,42.5
125609,20150621,435.25,398.5,0.3527,7,15,110.5
125610,20150201,545.5,570,0.0706,8,24,276.5
125610,20150208,494,500.5,-0.0243,8,24,303
125610,20150215,509.75,526.5,0.1,8,24,268
125610,20150222,465,476,0.0108,8,24,295.5
125610,20150301,535.5,543,-0.0812,8,24,309.5
125610,20150308,482.5,500,-0.0964,8,24,344
125610,20150322,506,526.5,-0.1304,8,24,299
125610,20150329,572.75,574.5,0.1746,8,23,365.5
125610,20150405,552.5,554,-0.1629,8,23,305.5
125610,20150412,485.25,493,-0.0659,8,23,278
125610,20150419,495.25,427.5,0.0999,8,23,277.5
125610,20150426,480.5,491,0.0697,8,23,286.5
125610,20150510,450.75,457,0.0832,7,19,288
125610,20150517,461,477.5,0.0618,7,19,300.5
125610,20150524,483.5,461,-0.001,7,19,286.5
125610,20150531,465.75,469.5,0.0225,7,19,309
125610,20150607,494.25,470,0.2408,7,19,101.5
125610,20150614,469.75,443.5,0.2789,7,19,167.5
125610,20150621,526.5,514,0.2165,7,19,193.5
125611,20150201,562.5,599.5,0.2693,8,19,352
125611,20150215,520.75,564,0.3841,8,19,340.5
125611,20150222,437.25,474,0.2699,8,19,338.5
125611,20150301,536,550.5,0.2966,8,19,347.5
125611,20150308,501,532,0.2914,8,19,378
125611,20150315,529.75,543,0.3945,8,19,342
125611,20150322,517.5,544.5,0.4106,8,19,289.5
125611,20150329,566.25,587,0.3788,8,21,446.5
125611,20150412,490.75,499,0.3546,8,21,45
125611,20150419,473,516,0.3858,8,21,313
125611,20150510,439.5,452,0.3572,7,19,301.5
125611,20150621,481.5,492.5,0.4403,7,19,227.5
125613,20150201,564.75,553.75,0.6963,8,21,63
125613,20150208,469,470,0.7495,8,21,117
125613,20150215,495.5,505,0.7931,8,21,99
125613,20150222,451.75,442,0.7316,8,21,90
125613,20150301,506.75,509.25,0.778,8,21,90
125613,20150308,482.75,473.25,0.7545,8,21,117
125613,20150315,500.25,490.5,0.8146,8,21,72
125613,20150322,485.5,469.25,0.7709,8,21,81
125613,20150329,575.75,581.25,0.7933,8,21,99
125613,20150405,560.25,548.25,0.7796,8,21,72
125613,20150412,465.75,451.75,0.7907,8,21,108
125613,20150419,454.5,432.75,0.7497,8,21,90
125613,20150426,438.75,414.75,0.7618,8,21,99
125613,20150503,465.75,437.25,0.7402,7,18,63
125613,20150510,423.75,417.5,0.7717,7,18,90
125613,20150517,429,441,0.4907,7,18,108
125613,20150524,454.5,435.25,0.7398,7,18,72
125613,20150531,443,432.25,0.7489,7,18,99
125613,20150607,487.25,453.25,0.7363,7,18,72
125613,20150621,481.5,485.75,0.7129,7,18,245.5
125614,20150201,845,888,0.5243,10,30,659
125614,20150208,689,734,0.4652,10,30,628
125614,20150215,726.75,799,0.474,10,30,632
125614,20150222,703.5,727,0.5245,10,30,81
125614,20150301,774.25,818,0.4508,10,30,645.5
125614,20150308,783.75,830,0.481,10,30,635
125614,20150315,740.25,799.5,0.5086,10,30,662.5
125614,20150322,738,728.25,0.4468,10,30,542
125614,20150329,759,786,0.4875,10,34,552
125614,20150405,721.75,740.25,0.5241,10,34,567
125614,20150412,732,763.5,0.4597,10,34,626
125614,20150419,755.75,777.5,0.481,10,34,649.5
125614,20150426,699.25,737,0.4955,10,34,598
125614,20150503,698,672,0.4269,9,32,535
125614,20150510,690.25,719,0.5121,9,32,649
125614,20150517,688.75,739.5,0.4486,9,32,597
